134;Francesco Karkalis;1995-01-19;Delfino Pescara 1936/Defender/Centre-Back;183
135;Nicolás Bianchi Arce;1987-01-29;Delfino Pescara 1936/Defender/Centre-Back;188
136;Salvatore Falso;1994-04-11;Delfino Pescara 1936/Goalkeeper/Goalkeeper;185
137;Antonio Bocchetti;1980-06-11;Delfino Pescara 1936/Defender/Left-Back;183
138;Luca Savelloni;1995-07-16;Delfino Pescara 1936/Goalkeeper/Goalkeeper;192
139;Marco Perrotta;1994-02-14;Delfino Pescara 1936/Defender/Centre-Back;184
140;Adrià Carmona;1992-02-08;Ac Mailand/Attack/Left Winger;171
141;Ivan Pelizzoli;1980-11-18;Delfino Pescara 1936/Goalkeeper/Goalkeeper;197
142;Simone Ganz;1993-09-21;Ac Mailand/Attack/Centre-Forward;175
143;Davide Narduzzo;1994-08-16;Ac Mailand/Goalkeeper/Goalkeeper;185
144;Giuseppe Fornito;1994-09-06;Ssc Neapel/Midfield/Central Midfield;175
145;Luciano Zauri;1978-01-20;Delfino Pescara 1936/Defender/Right-Back;178
146;Gianluca Grava;1977-03-07;Ssc Neapel/Defender/Right-Back;172
147;Giuseppe Palma;1994-01-20;Ssc Neapel/Midfield/Central Midfield;186
148;Giuseppe Nicolao;1994-03-05;Ssc Neapel/Defender/Left-Back;177
149;Francesco Savarise;1994-04-21;Ssc Neapel/Defender/Right-Back;173
150;Salvatore Aronica;1978-01-20;Ssc Neapel/Defender/Centre-Back;181
151;Daniele Celiento;1994-08-06;Ssc Neapel/Defender/Centre-Back;175
152;Riccardo Dimitrio;1994-08-13;Udinese Calcio/Attack/Left Winger;172
153;Diego Fabbrini;1990-07-31;Udinese Calcio/Attack/Attacking Midfield;181
154;Diamante Crispino;1994-09-05;Ssc Neapel/Goalkeeper/Goalkeeper;188
155;Diego Rodríguez;1989-09-04;Udinese Calcio/Midfield/Defensive Midfield;170
156;Willians;1986-01-29;Udinese Calcio/Midfield/Defensive Midfield;173
157;Marco Piscopo;1994-03-09;Udinese Calcio/Midfield/Central Midfield;179
158;Emanuele Allegra;1994-05-06;Ssc Neapel/Defender/Centre-Back;179
159;Filippo Boniperti;1991-09-27;Parma Calcio 1913/Attack/Right Winger;180
160;Tom Syku;1995-09-21;Udinese Calcio/Defender/Centre-Back;187
161;Stefano Morrone;1978-10-26;Parma Calcio 1913/Midfield/Central Midfield;178
162;Fernando Marqués;1984-12-04;Parma Calcio 1913/Attack/Right Winger;177
163;Gianluca Musacci;1987-04-01;Parma Calcio 1913/Midfield/Central Midfield;181
